"","Outcome","Est","Est.Unrounded","SE","SE.Unrounded","CI","pval","Analyzed.n","Reject.Romano","Theta.hat","Global.pval","Null.int","Excess.hits"
"1","Marijuana use",0.52,-0.661281554139023,"0.35",0.350584776192207,"[0.26, 1.03]","0.059",NA,NA,NA,NA," [NA, NA]",NA
"2","Anxiety",0.96,-0.0454965031099553,"0.46",0.456002644066826,"[0.39, 2.34]","0.921",NA,NA,NA,NA," [NA, NA]",NA
"3","Overweight or obese",1.02,0.0225440293607388,"0.12",0.119987034134066,"[0.81, 1.29]","0.851",NA,NA,NA,NA," [NA, NA]",NA
"4","Current or former smoking",0.78,-0.247241131424493,"0.10",0.101183728820552,"[0.64, 0.95]","0.015*",NA,NA,NA,NA," [NA, NA]",NA
"5","Heavy drinking",0.93,-0.0698913951010789,"0.16",0.156865258309494,"[0.69, 1.27]","0.656",NA,NA,NA,NA," [NA, NA]",NA
"6","oth_sub",0.68,-0.379381202535653,"0.17",0.170484209771103,"[0.49, 0.96]","0.026*",NA,NA,NA,NA," [NA, NA]",NA
"7","Depression",0.6,-0.506083875176278,"0.20",0.195393516289868,"[0.41, 0.88]","9.60E-03**",NA,NA,NA,NA," [NA, NA]",NA
